Image_ID,NDVI_Min,NDVI_Max,NDVI_Mean,NDVI_Std,RGB_Min,RGB_Max,RGB_Mean,RGB_Std,VV_Min,VV_Max,VV_Mean,VV_Std,VH_Min,VH_Max,VH_Mean,VH_Std
1052B,0.1868759,0.8833992,0.6293421,0.10787356,11.0,166.0,48.89592,13.991969,65.0,252.0,132.39499,12.811749,12.0,166.0,80.94056,12.683686
1053A,-0.7660626,0.88765556,-0.043001287,0.3317908,3.0,255.0,73.26939,50.688946,0.0,255.0,94.77184,55.909904,0.0,255.0,40.541035,38.580967
1053B,-0.69345796,0.92,0.3581113,0.25870892,4.0,255.0,72.57925,40.21991,1.0,255.0,119.33438,26.320751,0.0,255.0,68.64351,27.505579
1054A,-0.34932533,0.8320988,0.4529025,0.16467746,30.0,255.0,61.88316,20.267218,0.0,255.0,132.05666,22.112759,0.0,255.0,77.84359,21.578592
1054B,-0.3719705,0.85405624,0.43618834,0.16378488,29.0,255.0,69.967995,27.24746,0.0,255.0,129.96599,22.46719,0.0,255.0,73.71395,23.626345
1055A,-0.26930827,0.9027573,0.6362761,0.12162368,12.0,255.0,58.530064,21.162119,4.0,255.0,111.255005,16.481384,0.0,187.0,60.106335,16.874966
1055B,-0.3946504,0.9078679,0.62528473,0.12902696,14.0,255.0,60.309772,21.72454,3.0,255.0,108.68746,16.52468,0.0,184.0,57.39723,17.38157
1056A,-0.2923845,0.89048404,0.65839046,0.14881465,0.0,255.0,47.345562,21.63702,0.0,178.0,129.40468,11.874573,0.0,126.0,80.48617,12.273221
1056B,-0.19108649,0.8911003,0.7057042,0.13324909,17.0,255.0,42.5472,19.81537,70.0,176.0,133.02087,10.213395,17.0,131.0,83.80462,10.337896
1057A,-0.47301587,0.865041,0.57030725,0.16984439,22.0,255.0,54.136646,16.325523,0.0,255.0,140.37247,13.762109,0.0,196.0,81.97361,15.571277
1057B,-0.53393084,0.8567854,0.47181398,0.18732269,21.0,247.0,57.77356,16.20871,0.0,255.0,140.91191,17.529682,0.0,148.0,81.81252,19.31402
1058A,-0.40071556,0.8987466,0.4355252,0.18809555,10.0,255.0,65.50805,28.96172,2.0,185.0,104.04159,22.126862,0.0,132.0,51.637012,24.779488
1058B,-0.556541,0.886703,0.40883267,0.1773372,10.0,255.0,67.856155,29.781635,0.0,201.0,102.44834,22.829323,0.0,140.0,48.315018,24.819544
