Image_ID,NDVI_Min,NDVI_Max,NDVI_Mean,NDVI_Std
107B,-0.40387574,0.89907455,0.5738306,0.1283638
1080A,-0.9920949,0.97581494,0.26667237,0.16408174
1080B,-0.99408287,0.9457088,0.4041657,0.23012379
1081A,-0.16210526,0.8367736,0.73442686,0.04196043
1081B,-0.11738089,0.8424625,0.71384346,0.053395767
1082A,0.46304348,0.88620013,0.7938807,0.026565628
1082B,0.49208212,0.8845373,0.798081,0.025349243
1083A,-0.06832298,0.89639676,0.36089933,0.13049208
1083B,-0.10898458,0.905953,0.60619986,0.16512659
1084A,0.027533684,0.9385879,0.70323634,0.128208
1084B,0.07630522,0.9160105,0.6889538,0.11517028
1085A,-0.025396826,0.9287715,0.42009634,0.22775166
1085B,0.03525955,0.972103,0.40061826,0.17558663
1086A,-0.6772009,0.9237137,0.29547417,0.17866607
1086B,-0.48126116,0.8816788,0.25440615,0.112988696
1087A,0.050715934,0.8992113,0.6105193,0.16194849
1087B,-0.25490198,0.90704143,0.66321075,0.14145568
1088A,0.070212424,0.8292086,0.5112598,0.15416601
1088B,-0.11535983,0.8105263,0.37952274,0.13748206
1089A,-0.010632547,0.8327588,0.26097405,0.17906025
1089B,-0.018195052,0.84525055,0.2499491,0.18515965
108A,-0.04953059,0.8888803,0.3163852,0.140855
108B,0.0005189414,0.9245611,0.31593567,0.12426195
1090A,-0.14740108,0.8892679,0.63782966,0.1266744
1090B,-0.3419355,0.9194262,0.555621,0.12204525
1091A,-0.45547944,0.8990066,0.43364906,0.13068588
1091B,-0.40409684,0.91663593,0.4809362,0.14696622
1092A,0.4640237,0.78857446,0.6632753,0.028577039
1092B,0.33030942,0.8491473,0.66743666,0.034483403
1093A,0.14019139,0.8659468,0.4456702,0.1062108
1093B,0.1281184,0.8547056,0.4750933,0.13331701
1094A,0.1525556,0.91283864,0.4419027,0.18038361
1094B,0.06494794,0.8961728,0.34394228,0.14778674
1095A,-0.008450705,0.6203116,0.37993497,0.09501922
1095B,-0.084665485,0.6343115,0.31888223,0.11663271
1096A,-0.32628205,0.9454821,0.6448485,0.15951422
1096B,-0.51572925,0.923974,0.66095173,0.16793184
1097A,-0.34416825,0.83175963,0.5261226,0.13711542
1097B,0.017632242,0.83969945,0.5557834,0.099022955
1098A,-0.034188036,0.8930677,0.33911544,0.12835036
1098B,0.092498176,0.8628454,0.34813738,0.13302557
1099A,-0.09885676,0.8230842,0.18331194,0.11828818
1099B,-0.10864745,0.809876,0.22924075,0.14469677
109A,0.04797048,0.8850797,0.4226465,0.13851164
109B,-0.4646681,0.87250996,0.39553872,0.19731583
10A,-0.7217391,0.9024937,0.5764756,0.2914115
10B,-0.59477127,0.90328276,0.72806513,0.17058788
110A,-0.018703785,0.916763,0.21901178,0.09752809
110B,0.0,0.9020481,0.2425603,0.10515899
111A,0.116479725,0.9284149,0.5106045,0.1514881
111B,0.086519115,0.9296482,0.5124316,0.2002544
112A,-0.14748953,0.8636451,0.58787835,0.13495621
112B,-0.4013378,0.8666667,0.5832181,0.122725755
113A,-0.035364296,0.94187474,0.71277964,0.10960075
113B,-0.072814524,0.94849783,0.7273538,0.12841904
114A,0.32546374,0.8335046,0.6154074,0.07659502
114B,0.26645264,0.6773468,0.46509838,0.046027675
115A,-0.5104428,0.9243818,0.3762312,0.30077443
115B,-0.32627526,0.9240725,0.37509823,0.23193206
116A,0.61617213,0.9131994,0.8434309,0.01946076
116B,0.56789404,0.91832024,0.8490709,0.019315427
117A,-0.16517857,0.9505366,0.54279786,0.19080423
117B,-0.112299465,0.9332929,0.49606305,0.19762482
118A,-0.09867452,0.8688982,0.4453733,0.08261476
118B,0.03002611,0.8694267,0.42922708,0.12033482
119A,0.24543175,0.954912,0.70922536,0.09660785
119B,0.25376344,0.95424974,0.73947465,0.094853535
11A,-0.09126984,0.87754714,0.31317246,0.09993397
11B,-0.455683,0.8744963,0.4069281,0.104798846
120A,-0.378078,0.9753476,0.7178469,0.113922715
120B,-0.39238033,0.98321974,0.73852086,0.13471363
121A,0.16985951,0.8520996,0.66499925,0.072146215
121B,0.14369933,0.84228414,0.65049815,0.08513084
122A,-0.39593908,0.9089283,0.46136165,0.290683
122B,-0.45134574,0.9017544,0.25276536,0.39864036
123A,-0.12119649,0.90963686,0.7992319,0.10444358
123B,-0.30805686,0.9129612,0.804221,0.10944649
124A,-0.33172497,0.8374276,0.49152008,0.18766065
124B,-0.04769737,0.8515417,0.6082821,0.15748775
125A,0.00062578224,0.87014765,0.70799804,0.070274666
125B,0.092869565,0.86925244,0.71228564,0.06734892
126A,-0.91515154,0.893348,0.055953365,0.37614533
126B,-0.90909094,0.9088838,0.55146503,0.2992959
127A,0.05973383,0.7502207,0.30579165,0.07177484
127B,0.14678432,0.72516495,0.34109622,0.058382906
128A,-0.24808185,0.84556407,0.24744096,0.16103297
128B,-0.32146204,0.8735092,0.20873368,0.130178
129A,-0.0011677695,0.8560593,0.4929254,0.10933465
129B,-0.049491968,0.8578826,0.4399983,0.114038855
12A,-0.39144215,0.92102206,0.6101785,0.20160222
12B,-0.28957528,0.9269619,0.5681588,0.20086858
130A,-0.029432878,0.8973913,0.2582877,0.094101705
130B,-0.0053333333,0.77870566,0.2541584,0.07491543
131A,-0.015075377,0.90629184,0.61695087,0.15106268
131B,-0.034285713,0.91178495,0.55505383,0.1269588
132A,-0.5283213,0.9373377,0.5896404,0.20486443
132B,-0.38078293,0.93683606,0.5282464,0.18669875
133A,-0.36507937,0.95933455,0.44333458,0.102319784
133B,-0.00043122037,0.99230766,0.5093595,0.15350561
134A,0.082162164,0.90711546,0.5435175,0.12785205
134B,0.09487331,0.91435766,0.55458987,0.14949408
135A,-0.20385233,0.8795846,0.6455677,0.16670911
135B,-0.22146508,0.8785832,0.63994324,0.18893628
136A,0.071694985,1.0,0.48545772,0.13319047
136B,-0.56565654,0.9929495,0.3264333,0.12154474
137A,-0.8947368,1.0,0.64389074,0.37189677
137B,-0.9548872,1.0,0.667843,0.37231115
138A,-0.4492628,0.824198,0.38106665,0.14088759
138B,-0.6686084,0.8242268,0.29887018,0.3725011
139A,-0.51552796,1.0,0.7726567,0.15211374
139B,-0.057605177,1.0,0.82867837,0.13407432
13A,-0.50736845,-0.02019544,-0.29456496,0.07073437
13B,-0.65294427,-0.13426854,-0.43968743,0.07961986
140A,-0.38350624,0.8225878,0.2785514,0.09086297
140B,0.07876154,0.7422645,0.26312065,0.079636335
141A,-0.3833972,0.30741587,0.03669527,0.040560458
141B,-0.39434567,0.40429837,0.047117226,0.07977377
142A,0.2479452,0.9145631,0.6078663,0.14047244
142B,-0.20617111,0.89823306,0.5615996,0.14549458
143A,-0.0024406912,0.89343566,0.6820799,0.12592654
143B,-0.29168817,0.8971181,0.6835922,0.1513249
144A,-0.143611,0.8430657,0.42296106,0.103319645
144B,-0.20836337,0.8781134,0.4590974,0.121335536
145A,0.64244604,0.919533,0.84954,0.016625578
145B,0.3355372,0.9058849,0.8369081,0.029340422
146A,-0.056657225,0.78264534,0.45654976,0.10865879
146B,-0.06861314,0.7936058,0.45667806,0.1238391
147A,0.08760331,0.84272397,0.36116096,0.10692514
147B,0.10619236,0.849929,0.3366974,0.10016248
148A,-0.11381946,0.83960634,0.520375,0.09581348
148B,0.009621048,0.86864835,0.34661788,0.14063033
149A,-0.59825325,0.9163498,0.040955484,0.18787517
149B,-0.24362452,0.1623752,-0.031773392,0.041246988
14A,-1.0,0.9827122,0.605898,0.343208
14B,-1.0,0.9733084,0.5745306,0.22685616
150A,-0.7743363,0.9449025,0.36195397,0.54099536
150B,-0.79253113,0.9521111,0.36090913,0.525407
151A,-0.13043478,0.89948624,0.7300221,0.21581006
151B,-1.0,0.93474716,0.7488147,0.17981769
152A,-0.040628202,0.88372093,0.42556643,0.124233805
152B,0.062134504,0.8782718,0.4104756,0.13240609
153A,-0.37698784,0.86957043,0.5523405,0.20837656
153B,-0.3895041,0.8944564,0.5256032,0.16930504
154A,0.07181467,0.82808715,0.39262846,0.10899689
154B,0.05682782,0.82151896,0.43217906,0.10516988
155A,-0.36708862,0.920082,0.71899796,0.15242289
155B,-0.20816326,0.92117065,0.7078132,0.14828725
156A,0.084033616,0.6580938,0.23361418,0.06288504
156B,0.07915994,0.7401183,0.34385538,0.0571364
157A,-0.17912553,0.9322459,0.6315477,0.112314075
157B,-0.4233871,0.9249878,0.59418136,0.10332619
158A,0.12643678,0.8334058,0.4575769,0.106193624
158B,0.14151411,0.8537859,0.49447274,0.084187865
159A,-0.08675799,0.92503345,0.5104986,0.20588697
159B,-0.26035503,0.927673,0.5558147,0.19543913
15A,-0.50180507,0.80110687,0.33001608,0.134826
15B,-0.015544041,0.7845473,0.2942434,0.13295108
160A,0.25832456,0.8714924,0.6927264,0.067432255
160B,0.30811843,0.85497177,0.63413596,0.07788828
161A,0.34185302,0.85385615,0.5873265,0.062223703
161B,0.2946309,0.85910076,0.5103973,0.062598675
162A,-0.46177003,0.85660845,-0.25414407,0.30799648
162B,-0.4224138,0.79012346,0.19714959,0.20448308
163A,-0.65217394,0.9528015,0.5611249,0.114776716
163B,-0.67075664,0.9414539,0.52550304,0.12168642
164A,-0.30973452,0.94706994,0.74369735,0.124772675
164B,-0.35042736,0.9489559,0.79999787,0.120539695
165A,-0.0321065,0.8364312,0.36875385,0.12878455
165B,-0.115907274,0.82771,0.43818983,0.14298968
166A,-0.20520833,0.81598216,0.48612982,0.12619928
166B,0.05317324,0.80444443,0.5353182,0.113745585
167A,-0.13110194,0.9257677,0.6047634,0.23659338
167B,-0.05769865,0.92450684,0.7887092,0.17366554
168A,0.15625,0.9079294,0.8413708,0.035365183
168B,-0.32088682,0.90694004,0.78925586,0.12509531
169A,0.0023805907,0.92818606,0.58138394,0.2166966
169B,-0.2599837,0.9343696,0.51430964,0.20126791
16A,0.0,0.9117949,0.7570647,0.10597363
16B,-0.1426392,0.911368,0.79919523,0.09132489
170A,0.22680204,0.91140676,0.73316425,0.06669121
170B,0.3008679,0.9001513,0.73070085,0.07284574
171A,-0.39657444,0.772495,0.35254413,0.06303605
171B,-0.42677826,0.75187343,0.3393073,0.062990196
172A,0.098570354,0.81497794,0.5500642,0.09786888
172B,0.20555878,0.8681081,0.58544064,0.08678888
173A,0.10406438,0.90549237,0.6922338,0.10313963
173B,0.0034259611,0.9204713,0.72653186,0.100388266
174A,-0.6496063,0.92954546,0.8003825,0.24451143
174B,-0.73626375,0.9310345,0.43464127,0.5707842
175A,0.071795516,0.86013573,0.63327444,0.10619465
175B,0.0965966,0.84218603,0.6577316,0.08041648
176A,0.07519242,0.8949516,0.45880312,0.124393284
176B,0.07350216,0.85754985,0.43667996,0.097181365
177A,0.11517077,0.9252887,0.71817964,0.08607275
177B,0.30828115,0.96583235,0.76976395,0.094043225
178A,-0.32009628,0.9005467,0.6289096,0.12364475
178B,-0.12847966,0.89905936,0.6866189,0.11720818
179A,-0.26759607,0.93062437,0.619018,0.17341958
179B,-0.33074433,0.9459742,0.6430904,0.16829224
17A,-0.11464968,0.997449,0.41546744,0.17739156
17B,-0.1711111,0.9950434,0.42275003,0.20739312
180A,0.12247325,0.9121447,0.43705982,0.19354609
180B,0.13432837,0.9167286,0.46205592,0.23112284
181A,0.3384075,0.8633377,0.7060934,0.050901346
181B,0.19361702,0.8991332,0.7109489,0.076570116
182A,-0.43410853,0.8808277,0.57870406,0.17496154
182B,-0.44946492,0.88465005,0.5645918,0.17891397
183A,-0.3158224,0.87234044,0.41329974,0.13640255
183B,-0.50301206,0.8850792,0.37061834,0.14783311
184A,-0.0005970149,0.824649,0.30465502,0.19085161
184B,-0.032747775,0.8322404,0.32890218,0.17894144
185A,-0.34068137,0.90645254,0.4817222,0.17195545
185B,-0.12266112,0.89796287,0.47717452,0.1683839
186A,-0.44051448,0.88135594,0.732524,0.13864304
186B,-0.46798494,0.9057249,0.54661775,0.2617148
187A,-0.5018587,0.9581298,0.508328,0.2006056
187B,-0.482367,0.95768374,0.4803653,0.19624484
188A,-0.044155844,0.92701554,0.81540453,0.116423294
188B,-0.07920792,0.9292697,0.82524735,0.086581334
189A,0.6202707,0.90716493,0.83936226,0.020636788
189B,0.6037835,0.91214955,0.84219444,0.020975234
18A,-0.12511939,0.90620136,0.8364583,0.042831942
18B,0.52412486,0.91281515,0.84334767,0.024198601
190A,0.13556139,0.5224349,0.3136281,0.0418741
190B,-0.13811007,0.56842107,0.2899857,0.048068326
191A,0.060473815,0.7193911,0.34627247,0.10076867
191B,0.08155408,0.7780437,0.35117796,0.10960161
192A,0.00024408103,0.8685606,0.32814613,0.16753657
192B,-0.019776952,0.87315637,0.31945658,0.16862005
193A,0.5705522,0.91652596,0.8385775,0.020182176
193B,0.5638298,0.92181534,0.84321547,0.01899191
194A,-0.51417005,0.9186992,0.61710286,0.24484341
194B,-0.6913767,0.93991417,0.49070033,0.24187243
195A,0.32670403,0.90416604,0.8302372,0.037800953
195B,0.30347595,0.9138052,0.8557141,0.026675543
196A,0.017350592,0.96526974,0.738891,0.20890234
196B,0.11387467,0.96237063,0.6249283,0.19231497
197A,-0.30391547,0.91964185,0.6027186,0.17678662
197B,-0.31707317,0.91315585,0.5731514,0.17759193
198A,-0.2273292,0.9272895,0.5207662,0.16707039
198B,-0.6166884,0.9128341,0.31945956,0.36593136
199A,0.06406449,0.78724045,0.48607746,0.09356524
199B,-0.28456637,0.8244181,0.4753344,0.16703966
19A,0.096609555,0.7869023,0.39220327,0.09040131
19B,-0.44471744,0.9067858,0.45153597,0.11931286
1A,0.31148314,0.917816,0.84793884,0.027210247
1B,0.6125346,0.9177697,0.8431199,0.023139797
200A,0.19330077,0.82132053,0.51186,0.14629802
200B,0.1860735,0.7941176,0.41342384,0.094725065
201A,-0.44104803,0.82815737,0.28825358,0.08291868
201B,-0.31776914,0.8668296,0.28743792,0.087834194
202A,-0.7440038,0.9398985,0.6773385,0.21706355
202B,0.115313314,0.93922526,0.8171927,0.07042387
203A,0.033898305,0.8044693,0.46299297,0.09896364
203B,0.064935066,0.75613225,0.43911508,0.0836552
204A,-0.17513369,0.88463557,0.64943874,0.12576023
204B,-0.17317708,0.8718506,0.6329978,0.14318845
205A,0.22540125,0.88560754,0.7384986,0.04522179
205B,0.35115176,0.90523404,0.75457203,0.051970746
206A,-0.39589444,0.926162,0.6730335,0.10252383
206B,0.002915452,0.9450245,0.76562977,0.08856247
207A,-0.46518105,0.88427407,0.5215592,0.1412714
207B,-0.42727274,0.87422615,0.57363844,0.14117977
208A,-0.27217743,0.8310144,0.3563922,0.10402442
208B,-0.24567474,0.85418266,0.34365016,0.10022071
209A,-0.34459868,0.90288925,0.49700463,0.23581791
209B,-0.026084121,0.9019295,0.49118453,0.23178078
