Unnamed: 0,Initial dates,End dates,Latitud,Longitudes,Cloudiness Mean,Water percentage Mean,Vegetation percentage Mean,Year,Month,Duration_Days
290,2019-05-14,2019-08-14,29.23770179731167,78.52354145370032,1.390261714285714,0.4204113571428572,37.85018378571429,2019,5,92
291,2020-05-07,2020-08-07,0.1821276532436542,37.46321590657709,2.279618333333334,0.0166576666666666,63.383191,2020,5,92
292,2023-01-15,2023-04-15,25.87872601375525,74.88184789629679,0.0862213636363636,0.4530533636363636,32.71844909090909,2023,1,90
293,2020-01-28,2020-04-28,23.57930460857258,85.7430485955727,0.359553,1.218767833333333,33.0475805,2020,1,91
294,2022-03-05,2022-06-05,7.424223496104567,22.76255818554464,0.7521111666666668,0.0053591666666666,60.61581516666666,2022,3,92
295,2021-07-01,2021-10-01,-15.86125565083789,-53.17808596840091,0.5825800555555556,0.0478142222222222,45.98569677777778,2021,7,92
296,2022-05-24,2022-08-24,-3.156590141068285,15.41259370391765,0.7262375000000001,0.34860425,53.80966250000001,2022,5,92
297,2021-05-06,2021-08-06,-29.25885831005761,147.1274703630664,0.8984830909090907,0.3068188181818182,35.81830354545454,2021,5,92
298,2023-02-13,2023-05-13,31.1948627714637,31.01425254134094,0.9094165,12.53771925,49.31972908333334,2023,2,89
299,2020-02-07,2020-05-07,-38.49458625018371,-59.97881747973366,1.185272692307692,7.295826538461539,52.47009523076922,2020,2,90
300,2021-07-23,2021-10-23,2.370178541907194,32.82949105222778,1.91017325,3.471317,78.61967675,2021,7,92
301,2019-03-25,2019-06-25,4.785880236038622,19.44628362516457,0.743541,0.8356129999999999,90.4652865,2019,3,92
302,2020-07-17,2020-10-17,-32.33702200079894,-53.37716441855261,2.2694026,0.6647378,87.91636120000001,2020,7,92
303,2019-07-11,2019-10-11,36.33910102711114,-105.4084605720917,1.639718833333333,0.092071,44.40231966666666,2019,7,92
304,2017-04-15,2017-07-15,37.73973149145763,31.52397898768833,2.93365,5.0369755,48.891662,2017,4,91
305,2023-08-14,2023-11-14,-34.20395368744941,-59.65323302766376,0.3743572857142858,3.023008285714286,56.7333937142857,2023,8,92
306,2017-04-11,2017-07-11,39.28605101105283,-0.1891061197161434,0.0,5.576226,20.812984,2017,4,91
307,2019-02-28,2019-05-28,-28.38179589864058,-54.64103738939781,1.01776375,0.44123775,73.1167705,2019,2,89
308,2020-02-27,2020-05-27,6.476160968467035,38.54285759867551,0.261691,0.848504,60.441446,2020,2,90
309,2023-04-21,2023-07-21,-18.60987175529301,47.41887389713128,0.6555355,0.6530775,64.92067025,2023,4,91
310,2019-01-23,2019-04-23,21.86404915265703,73.71745943456122,0.8021421428571428,1.445706571428572,25.447261,2019,1,90
311,2019-06-17,2019-09-17,15.25487358296616,101.4529407388948,3.747386,0.486422,67.357433,2019,6,92
312,2021-09-21,2021-12-21,10.30324462978265,22.36201645021725,0.6300806,0.0026188,45.02521640000001,2021,9,91
313,2023-01-13,2023-04-13,1.845413329207304,30.90469852876276,2.81209675,13.3522635,50.1873115,2023,1,90
314,2020-09-20,2020-12-20,30.89255960479402,95.6253992505322,0.6785129999999999,0.1163,35.915308,2020,9,91
315,2023-07-22,2023-10-22,-0.9012680380256484,-57.39416342963485,0.6629964444444445,0.3090993333333333,97.8066428888889,2023,7,92
316,2022-02-02,2022-05-02,-12.20395987899445,-58.22086609381637,0.095404,0.2209895,97.741589,2022,2,89
317,2021-04-06,2021-07-06,34.11590096072911,103.9368428183484,2.022277,0.005996,64.288685,2021,4,91
318,2023-07-06,2023-10-06,36.49621216020466,4.70846295975096,1.4014045,20.29833625,20.950242,2023,7,92
319,2021-09-04,2021-12-04,10.55686780562263,25.45836250944578,1.416272125,0.001213125,57.784592375,2021,9,91
320,2021-05-15,2021-08-15,24.26736077860095,72.50726262232314,2.742012,0.4737378333333333,22.80199383333334,2021,5,92
321,2022-01-05,2022-04-05,-29.91066085046571,-62.59428962755665,0.0320675,0.4189536666666667,63.90481983333333,2022,1,90
322,2023-04-23,2023-07-23,-5.150974696671341,-76.67658052639477,0.004399,1.618482,98.024982,2023,4,91
323,2019-02-05,2019-05-05,35.04736117537503,117.7878898822249,1.8330622,3.0817352,35.6743992,2019,2,89
324,2019-03-02,2019-06-02,1.528040103191017,30.54525538320422,1.5001994,23.3456924,57.0903516,2019,3,92
325,2017-04-15,2017-07-15,38.51658833238739,-5.300293176296094,2.596433333333334,0.2917453333333333,38.08244,2017,4,91
326,2020-08-12,2020-11-12,-23.69231275692296,34.8682603466753,0.2451353333333333,0.415753,31.162579,2020,8,92
327,2020-03-22,2020-06-22,-7.383219402827478,-48.80252931572917,0.0217066666666666,0.5806153333333334,97.59332733333332,2020,3,92
328,2020-05-03,2020-08-03,-9.560626195915862,-76.59965116135814,1.486878,0.223348,82.59424566666667,2020,5,92
329,2022-01-01,2022-04-01,18.37345052615529,76.99560499551507,0.2463238,1.6016674,29.2892754,2022,1,90
330,2020-06-23,2020-09-23,33.94622386175959,-84.37009810202012,1.2206585,1.927225,86.447531,2020,6,92
331,2023-08-03,2023-11-03,-35.87283777856764,149.5084431645482,1.2379742,12.5749782,71.02334479999999,2023,8,92
332,2021-07-01,2021-10-01,11.98364793361185,21.76189648520526,1.528228,0.0433396666666666,63.41264733333333,2021,7,92
333,2020-03-08,2020-06-08,-15.17669397753532,-45.99952375668443,0.040239,0.044094,85.23289,2020,3,92
334,2019-09-24,2019-12-24,-13.31221217592891,-49.04668490256242,0.06862,0.951261,51.254547,2019,9,91
335,2020-01-10,2020-04-10,-0.4794052929203332,40.32976275465472,0.92534625,4.25e-06,38.17773,2020,1,91
336,2020-05-14,2020-08-14,38.54285663096221,115.7735092715935,0.780818,0.22591175,46.46812325,2020,5,92
337,2023-07-24,2023-10-24,-28.57640122769944,-54.76919615386176,2.114009833333334,0.4468006666666667,84.75776816666668,2023,7,92
338,2019-07-01,2019-10-01,-18.80389736216153,46.15467813798293,0.009396,0.266536,25.407615,2019,7,92
339,2020-08-09,2020-11-09,-27.52290445915469,31.63107055302777,0.013746,0.736696,20.732908,2020,8,92
340,2022-01-10,2022-04-10,15.93769251316164,-91.3571809623672,0.31845,0.172507,84.77636,2022,1,90
341,2022-07-13,2022-10-13,-7.168009330499117,-64.56597923809484,2.097074333333333,1.074368666666667,94.67143733333334,2022,7,92
342,2019-09-24,2019-12-24,10.09728800343062,12.9963961938646,1.715148,0.004165,71.46566533333333,2019,9,91
343,2019-06-10,2019-09-10,4.559913061510734,-54.98164324564699,2.580377,11.326112,83.327925,2019,6,92
344,2022-07-15,2022-10-15,37.6061804757988,23.04803610503771,0.7409326666666669,26.834246,42.9198426,2022,7,92
345,2021-03-07,2021-06-07,-31.30669967281807,151.2733705042795,1.195850333333333,0.061084,89.19175266666667,2021,3,92
346,2022-09-11,2022-12-11,39.64406720333345,66.59266767581445,0.015925,1.113653,20.788325,2022,9,91
347,2021-05-18,2021-08-18,-25.34900013492702,27.95833104587288,0.047774,0.199027,25.950125,2021,5,92
348,2021-03-21,2021-06-21,38.45815576652485,47.97401624620306,0.9158639285714284,0.0757606428571428,29.73758314285714,2021,3,92
349,2020-07-28,2020-10-28,12.22149509990431,39.14857315898757,0.7872733333333333,0.169475,46.67679933333334,2020,7,92
350,2022-03-08,2022-06-08,-23.87963667154875,45.86427196926931,0.6818225909090909,0.0062515454545454,31.33808395454545,2022,3,92
351,2019-01-01,2019-04-01,-7.190654008586478,17.29493191067795,4.774157,0.081509,92.552179,2019,1,90
352,2020-04-26,2020-07-26,18.53081461851873,-98.27578855122256,3.066055,0.106873,33.212802,2020,4,91
353,2019-02-25,2019-05-25,34.89506300418221,44.55568675839646,0.1341846,1.6964464,55.14019020000001,2019,2,89
354,2019-02-16,2019-05-16,1.949406285870566,-65.86221960551981,0.032704,0.182149,99.604738,2019,2,89
355,2021-08-04,2021-11-04,-5.197070337081975,-55.18032465642644,1.358174285714286,0.4855388571428572,97.74244514285714,2021,8,92
356,2021-06-01,2021-09-01,-5.693819396553209,-66.06691063844481,1.620873,0.2744378,96.0501862,2021,6,92
357,2023-07-02,2023-10-02,-4.088298041513795,-60.37421599537825,0.7350424444444443,3.526544,93.76214277777778,2023,7,92
358,2021-09-16,2021-12-16,-32.65790097074684,-63.57743107309757,0.5499332,0.4847532999999999,25.7837567,2021,9,91
359,2021-02-26,2021-05-26,-15.2265248706245,-62.75579411585554,1.0487958,0.0011608,97.6600098,2021,2,89
360,2020-08-02,2020-11-02,-9.478525889109662,-54.53559842269667,1.009071,0.0774354999999999,76.56014166666667,2020,8,92
361,2022-04-22,2022-07-22,-7.254315094416484,-48.79041964417155,0.0914946666666666,1.711924666666667,91.09988616666668,2022,4,91
362,2022-05-14,2022-08-14,-7.835267946225024,-59.50794364279056,1.70287275,0.0636669166666666,91.37975233333331,2022,5,92
363,2021-04-23,2021-07-23,-21.92435408270114,46.03458343657087,0.045759,0.142702,26.990214,2021,4,91
364,2023-07-15,2023-10-15,30.86288969784922,70.13169142057723,0.5136170000000001,2.061481666666667,23.89306766666667,2023,7,92
365,2021-07-16,2021-10-16,-22.99699460098707,46.55407548432916,1.1770822,0.1341724,22.9454798,2021,7,92
366,2023-04-23,2023-07-23,-4.924779683420979,28.26199013346084,1.967400666666667,0.0032403333333333,71.54648916666666,2023,4,91
367,2023-08-18,2023-11-18,-15.53291775356506,-40.89195795126693,1.272105166666667,0.2161323333333333,81.07834566666666,2023,8,92
368,2021-04-13,2021-07-13,-7.715114616997816,-65.25512663007594,0.4096215,1.68179375,96.72402425,2021,4,91
369,2020-04-28,2020-07-28,35.86514383094128,105.114204637651,2.3174006,0.0513432,34.03572920000001,2020,4,91
370,2022-08-20,2022-11-20,-12.53501051700493,-51.06747715529704,0.020866,0.3146205,37.75221,2022,8,92
371,2019-04-28,2019-07-28,-25.25346618502948,45.079921545221,0.8237371111111111,0.0080296666666666,39.8455151111111,2019,4,91
372,2020-03-25,2020-06-25,36.15557216894538,5.110714065279296,1.086736555555556,21.849332,36.39709855555556,2020,3,92
