Latitud,Longitudes,Cloudiness Mean,Water percentage Mean,Vegetation percentage Mean,Year,Month,Duration_Days,NDVI_Mean_A,NDVI_Std_A,RGB_Mean_A,RGB_Std_A,VV_Mean_A,VV_Std_A,VH_Mean_A,VH_Std_A,NDVI_Mean_B,NDVI_Std_B,RGB_Mean_B,RGB_Std_B,VV_Mean_B,VV_Std_B,VH_Mean_B,VH_Std_B
38.68991705131752,-3.768571635611295,0.1027285,0.414312,45.6030565,2018,2,89,0.31746286,0.16793817,84.82428,44.89727,118.168884,17.768631,47.10443,15.3444395,0.3925874,0.1612611,63.856262,32.670177,114.557625,17.517656,49.75398,15.289627
-13.81208120817522,-58.68332331940002,1.1502513,0.0051614,54.73171979999999,2020,5,92,0.39377716,0.1944655,67.61483,36.627018,98.46088,27.216085,35.83839,32.564598,0.5170376,0.24892151,54.572205,37.375515,116.30978,23.91443,59.34909,31.100765
-17.84055642036545,-48.99909467184409,0.4388438181818182,0.6141992727272727,30.01882690909091,2019,8,92,0.31370002,0.19020623,87.27252,47.370792,98.34988,26.752062,38.45505,33.045544,0.3194608,0.18112788,93.33471,53.98656,102.437004,25.590397,46.460846,28.948267
31.99496487312936,99.69492413444168,2.598523333333333,0.153762,88.88003433333331,2019,7,92,0.7286431,0.09922431,43.663525,18.336899,113.844086,33.344856,54.040558,29.800816,0.7346591,0.094231784,44.41817,17.639595,112.63877,39.11955,47.960506,34.860867
-13.29271510965497,-51.92021944498013,1.340038764705882,0.351634294117647,52.98297758823529,2023,7,92,0.3869565,0.1968326,73.86468,38.406174,106.06222,27.066343,48.275192,33.746204,0.43186206,0.16753611,68.662224,36.81817,113.76725,24.52379,58.117992,29.757423
-16.98204146538343,-48.09192538814247,1.251764,1.365815666666667,77.10181666666666,2023,1,90,0.69953644,0.17743981,42.670776,21.35037,138.47087,15.284675,84.112976,15.613281,0.65577114,0.17583191,53.763836,25.898933,135.12848,12.406405,81.310234,13.163534
-31.6480892883802,116.606373881351,0.8276549000000001,0.1978299,70.0652105,2019,8,92,0.6900251,0.16458748,48.666645,22.99584,94.62006,21.018446,34.07864,24.831469,0.7210587,0.17890207,43.636387,25.704954,91.74331,19.491098,33.828606,21.685991
27.8772443145545,77.31349745350735,0.0006085999999999,0.232885,66.9765902,2023,2,89,0.71389055,0.22314444,40.326466,29.136244,105.323,17.333006,46.618423,18.098276,0.59124464,0.2833945,53.777157,37.34296,115.38745,22.621773,57.507275,23.012575
-26.48886752247485,150.6557162230663,0.8034266923076925,0.1237768461538462,40.30499415384615,2019,5,92,0.56885695,0.072402775,28.533974,9.945298,100.16839,9.47025,52.52594,10.224357,0.55546546,0.06646474,29.584284,9.359217,99.1092,9.760814,50.814457,10.5377655
-26.74746024129318,150.6462327002661,0.113113,0.0592345,33.4272475,2023,9,91,0.49327284,0.14475398,70.60668,26.169973,88.833885,20.81281,29.992823,25.64786,0.43468827,0.2114406,79.239586,30.68551,83.324425,17.808056,16.103733,20.424074
